Start Time,End Time,Transcript（原版本参考，勿删改）,改正版本,如有译文可提供请填写在这里
00:53:34:08,00:53:37:09,One of a kind with that rebel calls out of calls,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:53:37:09,00:53:39:28,land called Under the Dust. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:56:35:22,00:56:38:16,I rob some grocery stores,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:56:38:16,00:56:39:28,I thought it was a thrill ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:56:39:28,00:56:41:18,because they had what I wanted. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:56:41:18,00:56:44:16,I couldn't find it.  So I went in and took it. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:56:44:16,00:56:46:04,"And just to get high on, you know ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:56:46:04,00:56:48:10,what I'm saying  to get a buzz was lighter flooded,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:56:48:10,00:56:50:20,"which was hooked on there like the gas, too. ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:56:50:20,00:56:52:04,"So when the store was robbed, ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:56:52:04,00:56:54:20,they found the whole case lighter fluid going. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:56:54:20,00:56:56:11,They know that I stole it cause ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:56:56:11,00:56:58:03,I took a whole case over ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:56:58:03,00:56:59:18,"so I'd have enough to do me, ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:56:59:18,00:57:01:17,which was 24 cans ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:57:01:17,00:57:03:09,and not enough account a day ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:57:03:09,00:57:05:24,to get the full flick vouchers  I needed. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:57:05:24,00:57:08:05,And that's how I become in trouble. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:57:08:05,00:57:11:11,"So i've done my time, learned from that not to do it again. ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:57:11:11,00:57:13:23,"There ain't much of a squirrel,  but I'll tell you, ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:57:13:23,00:57:15:19,they're damn good eating. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:57:15:19,00:57:18:27,"And you can get one leg of the squirrels.  You got a bite, ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:57:18:27,00:57:21:21,which is really good. But the brain part of the squirrel ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:57:21:21,00:57:23:17,has better than a whole squirrel. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:57:23:17,00:57:27:07,I call it soul  food for the hillbillies.,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:57:27:07,00:57:30:24,And you  can also take their town saddle as a roach clip ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:57:30:24,00:57:32:13,as you smoke Mary Jane. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:57:32:29,00:57:36:05,This is Rebel Radio,修正文本请输入在这里,如有译文可提供，请填写于此
